,X,detectionID,surveyID,species,d1,d2,d3,d4,Year
47,13166,13254,1178,TUTI,95,95,95,95,2017
53,18606,18704,1628,TUTI,95,95,95,95,2019
56,6309,6373,602,OVEN,-50,95,95,95,2016
93,15529,15619,1394,BLJA,-50,85,85,95,2018
98,12248,12333,1102,BAWW,75,-50,75,95,2017
107,12163,12248,1056,OVEN,95,95,-50,95,2017
115,13959,14047,1244,HOWA,-50,95,-50,95,2017
181,12166,12251,1056,OVEN,-50,-50,-50,95,2017
182,12174,12259,1056,OVEN,-50,-50,-50,95,2017
205,14762,14851,1264,HOWA,85,85,95,95,2017
226,13287,13375,1190,OVEN,95,95,95,95,2017
239,17990,18087,1548,OVEN,95,95,95,95,2019
242,17993,18090,1549,OVEN,75,95,95,95,2019
286,11495,11579,956,OVEN,-50,-50,95,95,2016
291,13284,13372,1190,OVEN,-50,-50,95,95,2017
293,13609,13697,1211,HOWA,-50,-50,95,95,2017
309,18353,18451,1616,BTNW,-50,-50,95,95,2019
313,10131,10214,854,BTNW,-50,85,65,95,2016
325,12327,12412,1112,OVEN,95,95,-50,95,2017
328,18000,18097,1551,TUTI,95,95,-50,95,2019
336,13164,13252,1178,BTNW,-50,95,-50,95,2017
337,14734,14823,1248,TUTI,-50,95,-50,95,2017
353,10196,10279,937,BAWW,45,-50,-50,95,2016
373,12244,12329,1102,OVEN,-50,-50,-50,95,2017
385,18350,18448,1616,OVEN,-50,-50,-50,95,2019
432,18340,18438,1614,HOWA,-50,-50,95,85,2019
472,12273,12358,1107,BTNW,85,85,85,85,2017
481,13390,13478,1200,BLJA,85,85,85,85,2017
492,18374,18472,1617,BLJA,85,85,85,85,2019
493,18376,18474,1617,BLJA,85,85,85,85,2019
507,6347,6411,604,OVEN,-50,85,85,85,2016
547,9051,9133,839,OVEN,85,-50,85,85,2016
552,13169,13257,1178,BAWW,85,-50,85,85,2017
608,18596,18694,1626,BAWW,-50,-50,85,85,2019
625,18395,18493,1619,TUTI,75,75,45,85,2019
677,18088,18185,1606,TUTI,85,-50,-50,85,2019
710,6338,6402,604,OVEN,-50,-50,-50,85,2016
753,10199,10282,938,OVEN,-50,-50,-50,85,2016
754,10230,10313,938,OVEN,-50,-50,-50,85,2016
755,10412,10495,944,TUTI,-50,-50,-50,85,2016
767,12172,12257,1056,BLJA,-50,-50,-50,85,2017
796,15530,15620,1394,TUTI,85,85,85,85,2018
798,16373,17225,1436,BLJA,75,75,-50,85,2018
853,15501,15591,1390,BTNW,35,35,65,85,2018
857,8193,8270,773,TUTI,-50,85,-50,85,2016
868,14733,14822,1248,HOWA,85,85,85,85,2017
894,13586,13674,1205,TUTI,85,85,85,85,2017
930,12259,12344,1105,OVEN,85,85,85,85,2017
942,13907,13995,1222,TUTI,85,85,85,85,2017
954,17992,18089,1549,OVEN,85,85,85,85,2019
956,18351,18449,1616,OVEN,85,85,85,85,2019
980,13874,13962,1214,BTNW,-50,85,85,85,2017
1051,18641,18739,1631,OVEN,-50,-50,85,85,2019
1071,10201,10284,938,OVEN,85,85,-50,85,2016
1073,11486,11570,956,OVEN,85,85,-50,85,2016
1076,13336,13424,1195,OVEN,85,85,-50,85,2017
1080,16363,17214,1434,TUTI,85,85,-50,85,2018
1081,18525,18623,1620,BTNW,85,85,-50,85,2019
1087,13279,13367,1189,OVEN,-50,85,-50,85,2017
1099,14738,14827,1252,OVEN,75,35,-50,85,2017
1111,9167,9249,845,BLJA,75,-50,-50,85,2016
1137,8966,9048,835,OVEN,-50,-50,-50,85,2016
