Site,Elevation,Rainfall
1,0.753815519,10.25
2,0.712148176,0.56
3,0.346529996,2.47
4,1.35213954,12.42
5,0.31531306,5.72
6,0.840233573,7.41
7,0.509679797,3.30
8,0.378031038,10.14
9,0.364748126,4.77
10,1.433016228,5.94
11,1.168478477,10.44
12,1.345527366,3.57
13,0.490107642,11.41
14,1.373002271,12.66
15,0.446467148,8.25
16,0.661537165,5.87
17,1.190316419,3.59
18,0.412404524,12.46
19,1.001298379,2.44
20,0.311536429,7.68
21,0.737776089,12.08
22,0.940327969,0.46
23,0.246814711,2.40
24,0.456488494,8.73
25,0.546341551,6.95
26,0.264750987,2.76
27,0.999090851,12.78
28,1.445465296,9.28
29,0.512862104,10.25
30,0.825238924,7.37
31,0.614238009,7.43
32,1.462996919,10.35
33,0.281861265,8.45
34,0.514376452,10.14
35,0.42130946,9.22
36,1.065698407,0.83
37,0.658388933,10.84
38,1.001596807,1.86
39,0.827217093,12.35
40,0.976672418,6.06
